Regex,String,Var,Lparen,Rparen,Lsb,Rsb,Lcb,Rcb,Rcbplus,Alter,Concat,End,Assign,$,Program,Statement,Rvalue,Mid,Base,Group,Option,Rep0,Rep1,Alterop
S17,S16,S4,S27,,S26,,S25,,,,,,,,1,3,13,8,12,21,22,23,24,14
,,S35,,,,,,,,,,,,R0,,2,,,,,,,,
R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,,,,,,,,,,
R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,,,,,,,,,,
,,,,R10,,R10,,R10,R10,R10,R10,R10,S5,,,,,,,,,,,
S17,S16,S36,S27,,S26,,S25,,,,,,,,,,6,8,12,21,22,23,24,14
,,,,,,,,,,,S9,S7,,,,,,,,,,,,
R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,,,,,,,
,,,,R4,,R4,,R4,R4,S11,R4,R4,,,,,,,,,,,,
S17,S16,S36,S27,,S26,,S25,,,,,,,,,,,10,12,21,22,23,24,14
,,,,R5,,R5,,R5,R5,S11,R5,R5,,,,,,,,,,,,
R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,,,,,,,,,,
R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,,,,,,,,,,
,,,,,,,,,,,S9,,,,,,,,,,,,,
S17,S16,S36,S27,,S26,,S25,,,,,,,,,,,,15,21,22,23,24,
R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,,,,,,,,,,
R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,,,,,,,,,,
,,,S18,,,,,,,,,,,,,,,,,,,,,
,S19,,,,,,,,,,,,,,,,,,,,,,,
,,,,S20,,,,,,,,,,,,,,,,,,,,
R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,,,,,,,,,,
R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,,,,,,,,,,
R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,,,,,,,,,,
R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,,,,,,,,,,
R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,,,,,,,,,,
S17,S16,S36,S27,,S26,,S25,,,,,,,,,,28,8,12,21,22,23,24,14
S17,S16,S36,S27,,S26,,S25,,,,,,,,,,31,8,12,21,22,23,24,14
S17,S16,S36,S27,,S26,,S25,,,,,,,,,,33,8,12,21,22,23,24,14
,,,,,,,,S29,S30,,S9,,,,,,,,,,,,,
R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,,,,,,,,,,
R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,,,,,,,,,,
,,,,,,S32,,,,,S9,,,,,,,,,,,,,
R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,,,,,,,,,,
,,,,S34,,,,,,,S9,,,,,,,,,,,,,
R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,,,,,,,,,,
,,,,,,,,,,,,,S5,,,,,,,,,,,
R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,,,,,,,,,,